"","word1","word2","freq"
"600","when","asked",9
"601","will","likely",9
"602","will","probably",9
"603","world","i",9
"604","yeah","i",9
"605","york","times",9
"606","you","dont",9
"607","you","guys",9
"608","you","might",9
"609","you","see",9
"610","young","man",9
"611","youre","welcome",9
"612","a","new",8
"613","–","the",8
"614","along","way",8
"615","and","im",8
"616","another","day",8
"617","anything","i",8
"618","around","i",8
"619","at","end",8
"620","authorities","said",8
"621","because","i",8
"622","can","change",8
"623","can","easily",8
"624","can","look",8
"625","can","start",8
"626","cant","believe",8
"627","cant","get",8
"628","card","i",8
"629","county","jail",8
"630","couple","days",8
"631","days","ago",8
"632","do","i",8
"633","doesnt","get",8
"634","don’t","care",8
"635","don’t","think",8
"636","dont","feel",8
"637","dont","worry",8
"638","drinking","water",8
"639","earlier","month",8
"640","earth","day",8
"641","economic","development",8
"642","el","paso",8
"643","ever","seen",8
"644","family","members",8
"645","far","i",8
"646","feel","bad",8
"647","first","day",8
"648","first","place",8
"649","friday","night",8
"650","friends","i",8
"651","get","much",8
"652","give","away",8
"653","give","us",8
"654","global","warming",8
"655","going","make",8
"656","going","try",8
"657","good","enough",8
"658","good","job",8
"659","gov","chris",8
"660","great","deal",8
"661","great","time",8
"662","he","can",8
"663","he","just",8
"664","home","i",8
"665","hope","i",8
"666","hours","day",8
"667","how","many",8
"668","i","absolutely",8
"669","i","chose",8
"670","i","happy",8
"671","i","looked",8
"672","i","much",8
"673","i","realize",8
"674","i","set",8
"675","i","suppose",8
"676","i","wasn’t",8
"677","i","work",8
"678","i","worked",8
"679","i","write",8
"680","if","dont",8
"681","it","doesnt",8
"682","its","hard",8
"683","its","really",8
"684","its","time",8
"685","ive","always",8
"686","ive","ever",8
"687","ive","never",8
"688","job","i",8
"689","just","keep",8
"690","just","little",8
"691","late","last",8
"692","late","s",8
"693","law","enforcement",8
"694","left","behind",8
"695","lol","i",8
"696","long","i",8
"697","looking","back",8
"698","love","much",8
"699","make","feel",8
"700","make","sense",8
"701","makes","think",8
"702","mitt","romney",8
"703","moment","i",8
"704","monday","night",8
"705","much","less",8
"706","ncaa","tournament",8
"707","never","get",8
"708","new","years",8
"709","now","know",8
"710","officials","say",8
"711","oh","yeah",8
"712","one","many",8
"713","orange","county",8
"714","passed","away",8
"715","people","think",8
"716","percent","increase",8
"717","police","department",8
"718","pretty","good",8
"719","put","together",8
"720","real","life",8
"721","really","great",8
"722","right","thing",8
"723","rose","percent",8
"724","said","im",8
"725","said","monday",8
"726","said","they",8
"727","salt","pepper",8
"728","school","i",8
"729","show","i",8
"730","so","much",8
"731","so","now",8
"732","social","security",8
"733","sorry","i",8
"734","sound","like",8
"735","spend","time",8
"736","state","board",8
"737","state","university",8
"738","still","i",8
"739","take","advantage",8
"740","th","anniversary",8
"741","th","birthday",8
"742","thank","you",8
"743","thanks","i",8
"744","the","book",8
"745","the","government",8
"746","the","idea",8
"747","the","white",8
"748","there","also",8
"749","theres","much",8
"750","things","going",8
"751","this","year",8
"752","time","day",8
"753","time","one",8
"754","time","since",8
"755","time","time",8
"756","took","time",8
"757","two","different",8
"758","two","hours",8
"759","two","months",8
